local_day,day_index,date,price,real_price,log_return,aggregate_action,total_demand,active_agents,alive_agents,best_bid,best_ask,spread,mid_price,num_fills,mean_action_lstm,mean_action_gru,mean_action_cnn,mean_action_mlp,mean_action_momentum,mean_action_value,mean_action_random,mean_action_band_low,mean_action_band_mid,mean_action_band_high
41,660,2014-01-21,164.32306065583754,147.9,-0.0074976787759894695,-1.6533333333333333,-1.6533333333333333,152,300,165.55973247082648,165.55973247082648,0.0,165.55973247082648,0,-0.3333333333333333,-1.1111111111111112,1.4444444444444444,0.4444444444444444,-1.85,-3.08,-0.109375,0.0,-0.16666666666666666,0.5
42,661,2014-01-22,163.09741471283527,148.3,-0.0074867136302012825,-1.04,-1.04,139,300,164.32306065583754,164.32306065583754,0.0,164.32306065583754,0,0.0,-1.2222222222222223,1.1111111111111112,0.2222222222222222,-0.54,-2.63,0.0625,-0.5,0.16666666666666666,0.4166666666666667
43,662,2014-01-23,161.8697590005262,145.0,-0.007555603469452176,-1.3166666666666667,-1.3166666666666667,158,300,163.09741471283527,163.09741471283527,0.0,163.09741471283527,0,-0.6666666666666666,-0.2222222222222222,1.1111111111111112,0.4444444444444444,-0.38,-3.68,0.078125,0.3333333333333333,0.25,-0.08333333333333333
44,663,2014-01-24,159.84120976319332,143.95,-0.012611171638786358,-1.7466666666666666,-1.7466666666666666,147,300,161.8697590005262,161.8697590005262,0.0,161.8697590005262,0,0.0,-0.6666666666666666,1.3333333333333333,0.5555555555555556,-1.74,-3.62,0.015625,0.08333333333333333,0.4166666666666667,0.4166666666666667
45,664,2014-01-27,158.2558116909231,142.0,-0.009968098365030183,-1.3866666666666667,-1.3866666666666667,136,300,159.84120976319332,159.84120976319332,0.0,159.84120976319332,0,-0.5555555555555556,-0.2222222222222222,0.7777777777777778,0.3333333333333333,-1.14,-2.88,-0.265625,0.16666666666666666,-0.16666666666666666,0.25
46,665,2014-01-28,156.27008989095475,146.65,-0.012626929441592685,-1.8366666666666667,-1.8366666666666667,154,300,158.2558116909231,158.2558116909231,0.0,158.2558116909231,0,-0.3333333333333333,-0.4444444444444444,0.5555555555555556,0.1111111111111111,-1.44,-3.74,-0.5,-0.25,0.25,-0.08333333333333333
47,666,2014-01-29,155.8079210453903,141.65,-0.002961882396340261,-0.6066666666666667,-0.6066666666666667,148,300,156.27008989095475,156.27008989095475,0.0,156.27008989095475,0,-0.4444444444444444,-1.1111111111111112,0.2222222222222222,0.8888888888888888,1.34,-2.94,-0.28125,-0.16666666666666666,0.08333333333333333,-0.25
48,667,2014-01-30,153.9768984344623,146.95,-0.011821392262035619,-1.7,-1.7,151,300,155.8079210453903,155.8079210453903,0.0,155.8079210453903,0,0.4444444444444444,-0.6666666666666666,2.2222222222222223,1.4444444444444444,-2.22,-3.08,-0.171875,1.0833333333333333,0.9166666666666666,0.5833333333333334
49,668,2014-01-31,153.38621971084783,143.95,-0.003843528490594962,-0.9333333333333333,-0.9333333333333333,167,300,153.9768984344623,153.9768984344623,0.0,153.9768984344623,0,-0.1111111111111111,-0.6666666666666666,0.3333333333333333,0.5555555555555556,1.55,-4.22,-0.21875,0.08333333333333333,0.3333333333333333,-0.3333333333333333
50,669,2014-02-03,151.32121200276583,146.9,-0.013554243237267147,-1.7433333333333334,-1.7433333333333334,161,300,153.38621971084783,153.38621971084783,0.0,153.38621971084783,0,0.3333333333333333,-0.1111111111111111,0.8888888888888888,0.6666666666666666,-1.58,-3.74,-0.109375,0.6666666666666666,0.25,0.4166666666666667
51,670,2014-02-04,150.74502557110898,145.7,-0.003814972074357984,-0.8133333333333334,-0.8133333333333334,153,300,151.32121200276583,151.32121200276583,0.0,151.32121200276583,0,-0.1111111111111111,-0.7777777777777778,1.0,0.7777777777777778,0.87,-3.12,-0.421875,0.25,0.25,0.16666666666666666
